bibliography.title,metadata.url,bibliography.author.name,bibliography.publication.full
"Songs of Innocence, and Songs of Experience",https://www.gutenberg.org/ebooks/1934,"Blake, William",25-Dec-08
Essays of Michel de Montaigne � Complete,https://www.gutenberg.org/ebooks/3600,"Montaigne, Michel de",17-Sep-06
"The Divine Comedy by Dante, Illustrated",https://www.gutenberg.org/ebooks/8800,Dante Alighieri,"September, 2005"
A Christmas Carol in Prose; Being a Ghost Story of Christmas,https://www.gutenberg.org/ebooks/46,"Dickens, Charles",11-Aug-04
A Study in Scarlet,https://www.gutenberg.org/ebooks/244,"Doyle, Arthur Conan","April, 1995"
The Jungle Book,https://www.gutenberg.org/ebooks/236,"Kipling, Rudyard",16-Jan-06
Crime and Punishment,https://www.gutenberg.org/ebooks/2554,"Dostoyevsky, Fyodor",28-Mar-06
The Iliad,https://www.gutenberg.org/ebooks/6130,Homer,Sep-06
Beyond Good and Evil,https://www.gutenberg.org/ebooks/4363,"Nietzsche, Friedrich Wilhelm","August, 2003"
Candide,https://www.gutenberg.org/ebooks/19942,Voltaire,27-Nov-06
"Steam, Its Generation and Use",https://www.gutenberg.org/ebooks/22657,Babcock & Wilcox Company,18-Sep-07
Pygmalion,https://www.gutenberg.org/ebooks/3825,"Shaw, Bernard","March, 2003"
The Complete Works of William Shakespeare,https://www.gutenberg.org/ebooks/100,"Shakespeare, William","January, 1994"
Oliver Twist,https://www.gutenberg.org/ebooks/730,"Dickens, Charles","November, 1996"
Heart of Darkness,https://www.gutenberg.org/ebooks/526,"Conrad, Joseph",9-Jan-06
English Literature: Its History and Its Significance for the Life of the English-Speaking World,https://www.gutenberg.org/ebooks/10609,"Long, William J. (William Joseph)",6-Jan-04
An Occurrence at Owl Creek Bridge,https://www.gutenberg.org/ebooks/375,"Bierce, Ambrose",19-Mar-08
Second Treatise of Government,https://www.gutenberg.org/ebooks/7370,"Locke, John","January, 2005"
The King James Version of the Bible,https://www.gutenberg.org/ebooks/10,Unknown,2-Mar-11
"My Secret Life, Volumes I. to III.: 1888 Edition",https://www.gutenberg.org/ebooks/30360,Anonymous,"January 1, 1888"
The Wonderful Wizard of Oz,https://www.gutenberg.org/ebooks/55,"Baum, L. Frank (Lyman Frank)",1-Jul-08
On Liberty,https://www.gutenberg.org/ebooks/34901,"Mill, John Stuart",10-Jan-11
The Hound of the Baskervilles,https://www.gutenberg.org/ebooks/2852,"Doyle, Arthur Conan","October, 2001"
Three Men in a Boat,https://www.gutenberg.org/ebooks/308,"Jerome, Jerome K. (Jerome Klapka)",19-Oct-10
Through the Looking-Glass,https://www.gutenberg.org/ebooks/12,"Carroll, Lewis","February, 1991"
The Time Machine,https://www.gutenberg.org/ebooks/35,"Wells, H. G. (Herbert George)",2-Oct-04
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African: Written By Himself",https://www.gutenberg.org/ebooks/15399,"Equiano, Olaudah",17-Mar-05
The Jungle,https://www.gutenberg.org/ebooks/140,"Sinclair, Upton",11-Mar-06
Josefine Mutzenbacher: oder Die Geschichte einer Wienerischen Dirne von ihr selbst erz�hlt,https://www.gutenberg.org/ebooks/31284,"Salten, Felix",15-Feb-10
"Walden, and On The Duty Of Civil Disobedience",https://www.gutenberg.org/ebooks/205,"Thoreau, Henry David","January, 1995"
Hard Times,https://www.gutenberg.org/ebooks/786,"Dickens, Charles",17-Mar-13
The Brothers Karamazov,https://www.gutenberg.org/ebooks/28054,"Dostoyevsky, Fyodor",12-Feb-09
Democracy in America � Volume 1,https://www.gutenberg.org/ebooks/815,"Tocqueville, Alexis de",21-Jan-06
Complete Original Short Stories of Guy De Maupassant,https://www.gutenberg.org/ebooks/3090,"Maupassant, Guy de",2-Oct-04
Practical Grammar and Composition,https://www.gutenberg.org/ebooks/22577,"Wood, Thomas",11-Sep-07
David Copperfield,https://www.gutenberg.org/ebooks/766,"Dickens, Charles","December, 1996"
Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,https://www.gutenberg.org/ebooks/851,"Rowlandson, Mary White","March, 1997"
Uncle Tom's Cabin,https://www.gutenberg.org/ebooks/203,"Stowe, Harriet Beecher","January, 1995"
How to Analyze People on Sight: Through the Science of Human Analysis: The Five Human Types,https://www.gutenberg.org/ebooks/30601,"Benedict, Ralph Paine",4-Dec-09
The Legend of Sleepy Hollow,https://www.gutenberg.org/ebooks/41,"Irving, Washington","October, 1992"
Around the World in Eighty Days,https://www.gutenberg.org/ebooks/103,"Verne, Jules",15-May-08
Anna Karenina,https://www.gutenberg.org/ebooks/1399,"Tolstoy, Leo, graf",1-Jul-98
The Mysterious Affair at Styles,https://www.gutenberg.org/ebooks/863,"Christie, Agatha",27-Jul-08
The Call of the Wild,https://www.gutenberg.org/ebooks/215,"London, Jack",1-Jul-08
Anne of Green Gables,https://www.gutenberg.org/ebooks/45,"Montgomery, L. M. (Lucy Maud)",1992
Persuasion,https://www.gutenberg.org/ebooks/105,"Austen, Jane",5-Jun-08
Don Quixote,https://www.gutenberg.org/ebooks/996,"Cervantes Saavedra, Miguel de",27-Jul-04
Democracy and Education: An Introduction to the Philosophy of Education,https://www.gutenberg.org/ebooks/852,"Dewey, John","March, 1997"
A Portrait of the Artist as a Young Man,https://www.gutenberg.org/ebooks/4217,"Joyce, James","July, 2003"
The Tragical History of Doctor Faustus: From the Quarto of 1604,https://www.gutenberg.org/ebooks/779,"Marlowe, Christopher","January, 1997"
Ethan Frome,https://www.gutenberg.org/ebooks/4517,"Wharton, Edith","October, 2003"
Paradise Lost,https://www.gutenberg.org/ebooks/20,"Milton, John","October, 1991"
The Tragedy of Romeo and Juliet,https://www.gutenberg.org/ebooks/1112,"Shakespeare, William","November, 1997"
Utopia,https://www.gutenberg.org/ebooks/2130,"More, Thomas, Saint",22-Apr-05
Myths and Legends of Ancient Greece and Rome,https://www.gutenberg.org/ebooks/22381,"Berens, E. M.",23-Aug-07
Forbidden Fruit: Luscious and exciting story and More forbidden fruit or; Master Percy's progress in and beyond the domestic circle,https://www.gutenberg.org/ebooks/28520,Anonymous,6-Apr-09
Common Sense,https://www.gutenberg.org/ebooks/147,"Paine, Thomas",9-Jun-08
Northanger Abbey,https://www.gutenberg.org/ebooks/121,"Austen, Jane","April, 1994"
The Scarlet Letter,https://www.gutenberg.org/ebooks/33,"Hawthorne, Nathaniel","February, 1992"
The Communist Manifesto,https://www.gutenberg.org/ebooks/61,"Engels, Friedrich",25-Jan-05
The Turn of the Screw,https://www.gutenberg.org/ebooks/209,"James, Henry","February, 1995"
Lysistrata,https://www.gutenberg.org/ebooks/7700,Aristophanes,6-Apr-08
The Souls of Black Folk,https://www.gutenberg.org/ebooks/408,"Du Bois, W. E. B. (William Edward Burghardt)",29-Jan-08
Madame Bovary,https://www.gutenberg.org/ebooks/2413,"Flaubert, Gustave",25-Feb-06
The Reign of Greed,https://www.gutenberg.org/ebooks/10676,"Rizal, Jose",10-Oct-05
Hedda Gabler,https://www.gutenberg.org/ebooks/4093,"Ibsen, Henrik","May, 2003"
The Return of Sherlock Holmes,https://www.gutenberg.org/ebooks/108,"Doyle, Arthur Conan",8-Jul-07
Le Morte d'Arthur: Volume 1,https://www.gutenberg.org/ebooks/1251,"Malory, Thomas, Sir","March, 1998"
The Works of Edgar Allan Poe � Volume 1,https://www.gutenberg.org/ebooks/2147,"Poe, Edgar Allan",19-May-08
Don Juan,https://www.gutenberg.org/ebooks/21700,"Byron, George Gordon Byron, Baron",6-Jun-07
The War of the Worlds,https://www.gutenberg.org/ebooks/36,"Wells, H. G. (Herbert George)","July, 1992"
Mansfield Park,https://www.gutenberg.org/ebooks/141,"Austen, Jane","June, 1994"
Just So Stories,https://www.gutenberg.org/ebooks/2781,"Kipling, Rudyard",Jul-04
Middlemarch,https://www.gutenberg.org/ebooks/145,"Eliot, George",24-May-08
Thus Spake Zarathustra: A Book for All and None,https://www.gutenberg.org/ebooks/1998,"Nietzsche, Friedrich Wilhelm","December, 1999"
Meditations,https://www.gutenberg.org/ebooks/2680,"Marcus Aurelius, Emperor of Rome","June, 2001"
"On the Origin of Species By Means of Natural Selection: Or, the Preservation of Favoured Races in the Struggle for Life",https://www.gutenberg.org/ebooks/1228,"Darwin, Charles","March, 1998"
Faust,https://www.gutenberg.org/ebooks/14591,"Goethe, Johann Wolfgang von",4-Jan-05
An Inquiry into the Nature and Causes of the Wealth of Nations,https://www.gutenberg.org/ebooks/3300,"Smith, Adam","April, 2002"
The Tale of Peter Rabbit,https://www.gutenberg.org/ebooks/14838,"Potter, Beatrix",30-Jan-05
"The Ladies' Book of Etiquette, and Manual of Politeness: A Complete Hand Book for the Use of the Lady in Polite Society",https://www.gutenberg.org/ebooks/35123,"Hartley, Florence",30-Jan-11
A Treatise of Human Nature,https://www.gutenberg.org/ebooks/4705,"Hume, David","December, 2003"
Little Women,https://www.gutenberg.org/ebooks/514,"Alcott, Louisa May","May, 1996"
The Problems of Philosophy,https://www.gutenberg.org/ebooks/5827,"Russell, Bertrand","June, 2004"
Bleak House,https://www.gutenberg.org/ebooks/1023,"Dickens, Charles",1-Aug-97
The Works of Edgar Allan Poe � Volume 2,https://www.gutenberg.org/ebooks/2148,"Poe, Edgar Allan",19-May-08
The Devil's Dictionary,https://www.gutenberg.org/ebooks/972,"Bierce, Ambrose",1-Jan-11
The Art of War,https://www.gutenberg.org/ebooks/132,"Sunzi, active 6th century B.C.",May-94
The Critique of Pure Reason,https://www.gutenberg.org/ebooks/4280,"Kant, Immanuel","July, 2003"
"Memoirs Of Fanny Hill: A New and Genuine Edition from the Original Text (London, 1749)",https://www.gutenberg.org/ebooks/25305,"Cleland, John",2-May-08
The Practice and Science of Drawing,https://www.gutenberg.org/ebooks/14264,"Speed, Harold",6-Dec-04
The Sign of the Four,https://www.gutenberg.org/ebooks/2097,"Doyle, Arthur Conan","March, 2000"
The Odyssey: Rendered into English prose for the use of those who cannot read the original,https://www.gutenberg.org/ebooks/1727,Homer,"April, 1999"
A Princess of Mars,https://www.gutenberg.org/ebooks/62,"Burroughs, Edgar Rice",23-Jun-08
Myths and Legends of China,https://www.gutenberg.org/ebooks/15250,"Werner, E. T. C. (Edward Theodore Chalmers)",4-Mar-05
The Three Musketeers,https://www.gutenberg.org/ebooks/1257,"Dumas, Alexandre",1-Mar-98
2 B R 0 2 B,https://www.gutenberg.org/ebooks/21279,"Vonnegut, Kurt",3-May-07
The Sorrows of Young Werther,https://www.gutenberg.org/ebooks/2527,"Goethe, Johann Wolfgang von","February, 2001"
The Woman in White,https://www.gutenberg.org/ebooks/583,"Collins, Wilkie","July, 1996"
Notes from the Underground,https://www.gutenberg.org/ebooks/600,"Dostoyevsky, Fyodor","July, 1996"
Latin for Beginners,https://www.gutenberg.org/ebooks/18251,"D'Ooge, Benjamin L. (Benjamin Leonard)",25-Apr-06
The Memoirs of Sherlock Holmes,https://www.gutenberg.org/ebooks/834,"Doyle, Arthur Conan","March, 1997"
The History Of The Decline And Fall Of The Roman Empire: Table of Contents with links in the HTML file to the two; Project Gutenberg editions (12 volumes),https://www.gutenberg.org/ebooks/25717,"Gibbon, Edward",7-Jun-08
The Trial,https://www.gutenberg.org/ebooks/7849,"Kafka, Franz","April, 2005"
"Hamlet, Prince of Denmark",https://www.gutenberg.org/ebooks/1524,"Shakespeare, William","January 1, 1603"
A Concise Dictionary of Middle English from A.D. 1150 to 1580,https://www.gutenberg.org/ebooks/10625,"Skeat, Walter W. (Walter William)",7-Jan-04
Journal of Small Things,https://www.gutenberg.org/ebooks/51245,"Mackay, Helen",18-Feb-16
The Wind in the Willows,https://www.gutenberg.org/ebooks/289,"Grahame, Kenneth","July, 1995"
Tess of the d'Urbervilles: A Pure Woman,https://www.gutenberg.org/ebooks/110,"Hardy, Thomas","February, 1994"
Macbeth,https://www.gutenberg.org/ebooks/2264,"Shakespeare, William","January 1, 1623"
The Elements of Style,https://www.gutenberg.org/ebooks/37134,"Strunk, William",19-Aug-11
An Ideal Husband,https://www.gutenberg.org/ebooks/885,"Wilde, Oscar",27-Mar-09
Don Quijote,https://www.gutenberg.org/ebooks/2000,"Cervantes Saavedra, Miguel de","December, 1999"
The Prince and the Pauper,https://www.gutenberg.org/ebooks/1837,"Twain, Mark",20-Aug-06
North and South,https://www.gutenberg.org/ebooks/4276,"Gaskell, Elizabeth Cleghorn",12-Jun-12
Childe Harold's Pilgrimage,https://www.gutenberg.org/ebooks/5131,"Byron, George Gordon Byron, Baron","February, 2004"
The Anatomy of Melancholy,https://www.gutenberg.org/ebooks/10800,"Burton, Robert",13-Jan-04
The Notebooks of Leonardo Da Vinci � Complete,https://www.gutenberg.org/ebooks/5000,"Leonardo, da Vinci","January, 2004"
Andersen's Fairy Tales,https://www.gutenberg.org/ebooks/1597,"Andersen, H. C. (Hans Christian)","January, 1999"
Great Disasters and Horrors in the World's History,https://www.gutenberg.org/ebooks/51246,"Godbey, Allen Howard",18-Feb-16
Plays,https://www.gutenberg.org/ebooks/10623,"Glaspell, Susan",7-Jan-04
Dead End,https://www.gutenberg.org/ebooks/51247,"Macfarlane, Wallace",18-Feb-16
Philosophiae Naturalis Principia Mathematica,https://www.gutenberg.org/ebooks/28233,"Newton, Isaac, Sir",2-Mar-09
The Confessions of St. Augustine,https://www.gutenberg.org/ebooks/3296,"Augustine, Saint, Bishop of Hippo","June, 2002"
Swann's Way,https://www.gutenberg.org/ebooks/7178,"Proust, Marcel",21-Mar-09
"Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853, from a Cotton Plantation near the Red River in Louisiana",https://www.gutenberg.org/ebooks/45631,"Northup, Solomon",11-May-14
The Sea-Gull,https://www.gutenberg.org/ebooks/1754,"Chekhov, Anton Pavlovich",21-Feb-06
Spacemen Die at Home,https://www.gutenberg.org/ebooks/51249,"Ludwig, Edward W.",18-Feb-16
The Secret Adversary,https://www.gutenberg.org/ebooks/1155,"Christie, Agatha",14-Sep-08
The Ten Books on Architecture,https://www.gutenberg.org/ebooks/20239,Vitruvius Pollio,31-Dec-06
"The vision of hell.: By Dante Alighieri.; Translated by Rev. Henry Francis Cary, M.A.; and illustrated with the seventy-five designs of Gustave Dor�.",https://www.gutenberg.org/ebooks/8789,Dante Alighieri,7-Aug-04
Noli Me Tangere,https://www.gutenberg.org/ebooks/20228,"Rizal, Jose",30-Dec-06
"Beasts, Men and Gods",https://www.gutenberg.org/ebooks/2067,"Ossendowski, Ferdynand Antoni",13-May-06
The Castle of Otranto,https://www.gutenberg.org/ebooks/696,"Walpole, Horace",5-May-12
"Lyrical Ballads, With a Few Other Poems (1798)",https://www.gutenberg.org/ebooks/9622,"Wordsworth, William","January, 2006"
The Moonstone,https://www.gutenberg.org/ebooks/155,"Collins, Wilkie",12-Jan-06
The Fall of the House of Usher,https://www.gutenberg.org/ebooks/932,"Poe, Edgar Allan","June, 1997"
The Age of Innocence,https://www.gutenberg.org/ebooks/541,"Wharton, Edith","May, 1996"
The Aeneid,https://www.gutenberg.org/ebooks/228,Virgil,10-Mar-08
"The Monkey's Paw: The Lady of the Barge and Others, Part 2.",https://www.gutenberg.org/ebooks/12122,"Jacobs, W. W. (William Wymark)",22-Apr-04
Alice's Adventures in Wonderland,https://www.gutenberg.org/ebooks/19033,"Carroll, Lewis",12-Aug-06
The Secret Garden,https://www.gutenberg.org/ebooks/113,"Burnett, Frances Hodgson",15-May-08
The History of the Peloponnesian War,https://www.gutenberg.org/ebooks/7142,Thucydides,"December, 2004"
A Connecticut Yankee in King Arthur's Court,https://www.gutenberg.org/ebooks/86,"Twain, Mark",20-Jul-06
The Livestock Producer and Armour,https://www.gutenberg.org/ebooks/51244,Unknown,18-Feb-16
Carmilla,https://www.gutenberg.org/ebooks/10007,"Le Fanu, Joseph Sheridan",7-Nov-03
"Eve's Diary, Complete",https://www.gutenberg.org/ebooks/8525,"Twain, Mark",14-Jun-04
Ethics,https://www.gutenberg.org/ebooks/3800,"Spinoza, Benedictus de","February, 2003"
Anthem,https://www.gutenberg.org/ebooks/1250,"Rand, Ayn","March, 1998"
A Room with a View,https://www.gutenberg.org/ebooks/2641,"Forster, E. M. (Edward Morgan)","May, 2001"
"The Divine Comedy by Dante, Illustrated, Paradise, Complete",https://www.gutenberg.org/ebooks/8799,Dante Alighieri,2-Aug-04
"The Mechanical Properties of Wood: Including a Discussion of the Factors Affecting the Mechanical Properties, and Methods of Timber Testing",https://www.gutenberg.org/ebooks/12299,"Record, Samuel J. (Samuel James)",8-May-04
"Pamela, or Virtue Rewarded",https://www.gutenberg.org/ebooks/6124,"Richardson, Samuel","July, 2004"
This Side of Paradise,https://www.gutenberg.org/ebooks/805,"Fitzgerald, F. Scott (Francis Scott)","February, 1997"
"The Happy Prince, and Other Tales",https://www.gutenberg.org/ebooks/902,"Wilde, Oscar",29-Mar-15
The Innocents Abroad,https://www.gutenberg.org/ebooks/3176,"Twain, Mark",18-Aug-06
An Essay on Man; Moral Essays and Satires,https://www.gutenberg.org/ebooks/2428,"Pope, Alexander",20-Aug-07
The Tragedy of Pudd'nhead Wilson,https://www.gutenberg.org/ebooks/102,"Twain, Mark","January, 1994"
Symposium,https://www.gutenberg.org/ebooks/1600,Plato,"January, 1999"
The Gentlemen's Book of Etiquette and Manual of Politeness: Being a Complete Guide for a Gentleman's Conduct in All His Relations Towards Society,https://www.gutenberg.org/ebooks/39293,"Hartley, Cecil B.",28-Mar-12
The Man Who Was Six,https://www.gutenberg.org/ebooks/51295,"Wallace, F. L. (Floyd L.)",24-Feb-16
Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,https://www.gutenberg.org/ebooks/31,Sophocles,7-Mar-06
The Red Badge of Courage: An Episode of the American Civil War,https://www.gutenberg.org/ebooks/73,"Crane, Stephen",1-Jul-08
The Condition of the Working-Class in England in 1844: with a Preface written in 1892,https://www.gutenberg.org/ebooks/17306,"Engels, Friedrich",13-Dec-05
"Divine Comedy, Longfellow's Translation, Hell",https://www.gutenberg.org/ebooks/1001,Dante Alighieri,"August, 1997"
Cyrano de Bergerac,https://www.gutenberg.org/ebooks/1254,"Rostand, Edmond","March, 1998"
Hamlet,https://www.gutenberg.org/ebooks/2265,"Shakespeare, William","January 1, 1603"
Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,https://www.gutenberg.org/ebooks/59,"Descartes, Rene",1-Jul-08
Maggie: A Girl of the Streets,https://www.gutenberg.org/ebooks/447,"Crane, Stephen","February, 1996"
The Library of Entertainment Handbook,https://www.gutenberg.org/ebooks/51248,"Scammell, John Chilton",18-Feb-16
Twenty Thousand Leagues under the Sea,https://www.gutenberg.org/ebooks/164,"Verne, Jules",24-May-08
The King in Yellow,https://www.gutenberg.org/ebooks/8492,"Chambers, Robert W. (Robert William)","July, 2005"
The World as Will and Idea (Vol. 1 of 3),https://www.gutenberg.org/ebooks/38427,"Schopenhauer, Arthur",27-Dec-11
The American Occupation of the Philippines 1898-1912,https://www.gutenberg.org/ebooks/36542,"Blount, James H. (James Henderson)",28-Jun-11
"The Canterbury Tales, and Other Poems",https://www.gutenberg.org/ebooks/2383,"Chaucer, Geoffrey","January 1, 1475"
My Man Jeeves,https://www.gutenberg.org/ebooks/8164,"Wodehouse, P. G. (Pelham Grenville)","May, 2005"
"Spenser's The Faerie Queene, Book I",https://www.gutenberg.org/ebooks/15272,"Spenser, Edmund",7-Mar-05
Mrs. Warren's Profession,https://www.gutenberg.org/ebooks/1097,"Shaw, Bernard",11-Feb-06
Pascal's Pens�es,https://www.gutenberg.org/ebooks/18269,"Pascal, Blaise",27-Apr-06
Venus in Furs,https://www.gutenberg.org/ebooks/6852,"Sacher-Masoch, Leopold, Ritter von","November, 2004"
The Legends of King Arthur and His Knights,https://www.gutenberg.org/ebooks/12753,"Knowles, James, Sir",28-Jun-04
The Satyricon � Complete,https://www.gutenberg.org/ebooks/5225,Petronius Arbiter,31-Oct-06
"The Pilgrim's Progress from this world to that which is to come: Delivered under the similitude of a dream, by John Bunyan",https://www.gutenberg.org/ebooks/131,"Bunyan, John",12-Jun-08
Kidnapped,https://www.gutenberg.org/ebooks/421,"Stevenson, Robert Louis",16-Jan-06
On War � Volume 1,https://www.gutenberg.org/ebooks/1946,"Clausewitz, Carl von",25-Feb-06
The Confessions of Jean Jacques Rousseau � Complete,https://www.gutenberg.org/ebooks/3913,"Rousseau, Jean-Jacques",5-Sep-15
Die Verwandlung,https://www.gutenberg.org/ebooks/22367,"Kafka, Franz",21-Aug-07
The Idiot,https://www.gutenberg.org/ebooks/2638,"Dostoyevsky, Fyodor","May, 2001"
Famous Impostors,https://www.gutenberg.org/ebooks/51391,"Stoker, Bram",8-Mar-16
The Strange Case of Dr. Jekyll and Mr. Hyde,https://www.gutenberg.org/ebooks/43,"Stevenson, Robert Louis",31-Oct-92
The Addicts,https://www.gutenberg.org/ebooks/51240,"Samachson, Joseph",17-Feb-16
The Lost World,https://www.gutenberg.org/ebooks/139,"Doyle, Arthur Conan",19-Jun-08
Life on the Mississippi,https://www.gutenberg.org/ebooks/245,"Twain, Mark",20-Aug-06
An Enquiry Concerning Human Understanding,https://www.gutenberg.org/ebooks/9662,"Hume, David","January, 2006"
The Marching Morons,https://www.gutenberg.org/ebooks/51233,"Kornbluth, C. M. (Cyril M.)",16-Feb-16
The Decameron of Giovanni Boccaccio,https://www.gutenberg.org/ebooks/23700,"Boccaccio, Giovanni",3-Dec-07
A Vindication of the Rights of Woman: With Strictures on Political and Moral Subjects,https://www.gutenberg.org/ebooks/3420,"Wollstonecraft, Mary","September, 2002"
Tarzan of the Apes,https://www.gutenberg.org/ebooks/78,"Burroughs, Edgar Rice",23-Jun-08
Southern Horrors: Lynch Law in All Its Phases,https://www.gutenberg.org/ebooks/14975,"Wells-Barnett, Ida B.",8-Feb-05
Uncle Vanya: Scenes from Country Life in Four Acts,https://www.gutenberg.org/ebooks/1756,"Chekhov, Anton Pavlovich","May, 1999"
The Social Cancer: A Complete English Version of Noli Me Tangere,https://www.gutenberg.org/ebooks/6737,"Rizal, Jose",17-Jun-07
Gargantua and Pantagruel,https://www.gutenberg.org/ebooks/1200,"Rabelais, Francois",8-Aug-04
The Pursuit of God,https://www.gutenberg.org/ebooks/25141,"Tozer, A. W. (Aiden Wilson)",23-Apr-08
The Federalist Papers,https://www.gutenberg.org/ebooks/1404,"Jay, John","July, 1998"
"The Life and Opinions of Tristram Shandy, Gentleman",https://www.gutenberg.org/ebooks/1079,"Sterne, Laurence","October, 1997"
The Ladies Delight,https://www.gutenberg.org/ebooks/14005,Anonymous,10-Nov-04
"The Lives of the Twelve Caesars, Complete",https://www.gutenberg.org/ebooks/6400,Suetonius,22-Oct-06
Roughing It,https://www.gutenberg.org/ebooks/3177,"Twain, Mark",18-Aug-06
Second Variety,https://www.gutenberg.org/ebooks/32032,"Dick, Philip K.",17-Apr-10
Bridge Crossing,https://www.gutenberg.org/ebooks/51241,"Dryfoos, Dave",17-Feb-16
"The Thousand and One Nights, Vol. I.: Commonly Called the Arabian Nights' Entertainments",https://www.gutenberg.org/ebooks/34206,Unknown,3-Nov-10
The Consolation of Philosophy,https://www.gutenberg.org/ebooks/14328,Boethius,11-Dec-04
